RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
CAM,TT,Aaron Judge,2024,R,NYY,32,10.3901,152,681,592450,2024,542,174,35,1,54,165,127,24.2,18.6,0.321,0.688,0.456,1.144,0.369,136,0,10,1100,408,22,9,20,0,2,114,1566,0.312,0.728,0.47,0.477,0.449,26.4,8.2,19.8,2771,30.7,379,173.393,11.9,693,54.4,851,100,31,75,5.599999999999998,0.416,15640,-10.5734,88.7485,-0.4201,213.903,"Judge, Aaron",897,Aaron Judge,ILK
RAC,IR,Bobby Witt Jr.,2024,R,KCR,24,10.078,154,683,677951,2024,614,205,45,11,32,103,53,15.1,7.8,0.334,0.599,0.389,0.988,0.355,108,12,30,810,343,4,8,8,0,8,124,1619,0.325,0.604,0.414,0.418,0.386,14.8,5.4,25,2502,22.2,519,146.977,9.2,643,45.2,555,77,28,130,7.3,0.46,25764,15.6123,59.4678,4.4423,170.0832,"Witt Jr., Bobby",6,Bobby Witt Jr.,GAP
HIG,TT,Shohei Ohtani,2024,L,LAD,29,7.9894,151,698,660271,2024,606,180,34,7,52,160,78,22.9,11.2,0.297,0.634,0.38,1.014,0.321,122,4,52,964,389,7,5,10,0,5,125,1676,0.314,0.667,0.42,0.442,0.397,21.3,9.3,20.2,2720,30.1,451,157.09,9.6,703,50.8,819,96,42,91,11.7,0.448,19755,-16.4198,70.5425,8.3686,174.4394,"Ohtani, Shohei",,Shohei Ohtani*,WWL
PR,NB,Gunnar Henderson,2024,L,BAL,23,7.9564,152,693,683002,2024,609,172,30,7,37,153,74,22.1,10.7,0.282,0.537,0.365,0.902,0.32,87,3,21,1021,461,2,7,1,0,3,115,1688,0.288,0.508,0.385,0.379,0.372,11.3,8.3,24.4,2783,24.1,459,128.931,7.8,589,44,671,52,38,112,11.400000000000002,0.461,26289,4.9052,49.2594,4.3852,156.3292,"Henderson, Gunnar",6,Gunnar Henderson*,MMA
ALA,ECB,Juan Soto,2024,L,NYY,25,7.9245,150,686,665742,2024,555,160,31,4,40,113,124,16.5,18.1,0.288,0.575,0.418,0.993,0.296,104,4,6,1143,537,10,3,1,0,4,120,1579,0.32,0.663,0.422,0.465,0.447,20,6.3,22.2,2838,21.8,446,142.056,9.3,622,48.5,619,89,28,99,-1.6000000000000014,0.404,20123,-5.2316,59.32,-3.8018,180.0435,"Soto, Juan",97,Juan Soto*,SEA
CK,HOB,Francisco Lindor,2024,B,NYM,30,7.396,148,670,596019,2024,601,163,39,1,31,124,54,18.5,8.1,0.271,0.494,0.342,0.836,0.294,86,4,27,892,403,7,12,0,0,3,103,1694,0.286,0.539,0.36,0.382,0.356,13.8,5.6,26.3,2645,23.6,480,107.295,6.4,537,45.7,624,66,27,126,10.4,0.475,12916,17.6022,31.7019,3.4135,135.2845,"Lindor, Francisco",6,Francisco Lindor#,BAB
CC,WC,Elly De La Cruz,2024,B,CIN,22,6.5127,153,671,682829,2024,593,156,35,9,25,207,69,30.8,10.3,0.263,0.479,0.345,0.824,0.362,70,16,65,954,498,12,6,2,2,1,102,1629,0.246,0.445,0.355,0.336,0.33,12.9,6.4,22.9,2659,32.8,389,102.359,5.9,545,42.2,872,50,25,89,20.5,0.489,26668,15.2948,25.4065,7.6067,122.1688,"De La Cruz, Elly",6,Elly De La Cruz#,RAH
DAY,WC,Jarren Duran,2024,L,BOS,27,6.3925,152,699,680776,2024,638,182,45,13,21,153,52,21.9,7.4,0.285,0.495,0.342,0.837,0.345,73,7,34,916,437,6,5,1,1,3,104,1749,0.28,0.467,0.358,0.347,0.338,9.6,6.3,25.8,2714,24.7,489,113.265,6.5,551,41.7,670,47,31,126,14.499999999999998,0.494,24617,7.7019,31.0913,7.5458,129.3023,"Duran, Jarren",87,Jarren Duran*,JFS
RAM,MVR,Ketel Marte,2024,B,ARI,30,5.9597,128,554,606466,2024,480,142,22,2,34,102,61,18.4,11,0.296,0.563,0.374,0.937,0.306,90,1,6,717,273,9,4,7,0,9,86,1238,0.298,0.54,0.392,0.391,0.381,11.6,7.5,25.8,2018,21.7,387,104.147,7.9,473,44.9,438,45,29,100,7.399999999999999,0.441,13613,3.8799,35.3761,0.9631,151.9114,"Marte, Ketel",4,Ketel Marte#,ILK
RAM,ECB,Jose Ramirez,2024,B,CLE,31,5.8043,152,662,608070,2024,602,166,36,1,37,79,53,11.9,8,0.276,0.523,0.333,0.856,0.263,109,7,40,874,395,9,1,12,0,5,108,1691,0.261,0.449,0.358,0.328,0.322,8.1,8.3,19.7,2638,15.3,528,107.808,6.4,573,36.1,404,43,44,104,3.9000000000000004,0.497,13510,1.0616,33.2545,5.4071,136.5929,"Ramírez, José",5,Jose Ramirez#,FMB
RM,PP,Vladimir Guerrero Jr.,2024,R,TOR,25,5.4237,151,666,665489,2024,589,191,42,1,30,92,69,13.8,10.4,0.324,0.552,0.398,0.95,0.343,99,2,2,846,389,16,5,12,0,3,97,1572,0.325,0.582,0.401,0.412,0.399,13.8,6.2,24.2,2483,21.8,500,127.476,8.2,549,44.2,541,69,31,121,3.4000000000000004,0.455,19611,-15.4439,45.9348,-5.4269,167.0866,"Guerrero Jr., Vladimir",35,Vladimir Guerrero Jr.,ANG
HOM,KR,William Contreras,2024,R,MIL,26,5.3565,149,656,661388,2024,577,164,37,2,23,133,73,20.3,11.1,0.284,0.475,0.366,0.841,0.333,92,2,7,931,349,19,3,5,0,3,96,1581,0.274,0.491,0.362,0.363,0.358,10.3,8.1,23.5,2587,27.3,447,99.371,6.1,501,41.9,706,46,36,105,9.200000000000001,0.466,20503,6.8136,23.1727,-2.8377,133.1355,"Contreras, William",2,William Contreras,BAB
ROC,SIP,Matt Chapman,2024,R,SFG,31,5.2247,146,621,656305,2024,551,137,36,1,26,151,62,24.3,10,0.249,0.459,0.33,0.789,0.295,73,2,15,874,488,12,6,3,0,2,93,1645,0.254,0.461,0.34,0.343,0.337,12.7,7.7,20.9,2600,23.7,402,85.732,5.4,462,41.3,616,51,31,84,14.3,0.505,16505,11.0924,18.7884,3.4438,120.6497,"Chapman, Matt",5,Matt Chapman,OCG
DV,CW,Yordan Alvarez,2024,L,HOU,27,5.2027,145,633,670541,2024,550,168,33,2,35,95,69,15,10.9,0.305,0.564,0.39,0.954,0.314,85,0,6,778,334,13,10,16,0,4,86,1399,0.307,0.611,0.399,0.416,0.392,14.6,7.6,24.2,2251,20,459,122.575,8.3,518,46.4,450,67,35,111,4.1,0.432,19556,-15.6997,45.1428,-2.6722,165.71,"Alvarez, Yordan",7,Yordan Alvarez*,ANG
NA,NA,Jackson Merrill,2024,L,SDP,21,5.1351,149,571,701538,2024,534,157,29,6,24,99,28,17.3,4.9,0.294,0.506,0.327,0.833,0.32,88,3,16,642,222,2,1,1,3,5,74,1436,0.302,0.541,0.354,0.371,0.336,11.3,7.7,25.1,2150,20.5,443,91.85,6.4,451,44.1,441,50,34,111,12.4,0.486,29490,5.1941,25.4924,3.7964,131.7537,"Merrill, Jackson",8,Jackson Merrill*,NA
GNB,WAU,Brent Rooker,2024,R,OAK,29,5.1168,137,583,667670,2024,518,155,25,2,38,166,56,28.5,9.6,0.299,0.575,0.37,0.945,0.368,110,3,11,752,292,5,5,4,0,4,81,1416,0.274,0.587,0.399,0.391,0.349,17.1,8.7,21.3,2259,34,356,114.389,8.2,515,47.1,768,61,31,76,18.9,0.478,19627,-15.8191,46.0901,0.5647,167.9291,"Rooker Jr., Brent",79,Brent Rooker,WAW
HIG,HOB,Bryce Harper,2024,L,PHI,31,4.983,138,608,547180,2024,530,151,41,0,29,130,73,21.4,12,0.285,0.526,0.372,0.898,0.327,86,4,6,829,228,18,2,11,1,2,82,1463,0.273,0.493,0.38,0.363,0.363,10.4,9.9,25.8,2366,26.1,403,100.765,6.7,478,46.1,618,42,40,104,9.399999999999999,0.461,11579,-4.7814,32.7523,0.044,144.9578,"Harper, Bryce",3,Bryce Harper*,ILK
HOM,ECB,Marcell Ozuna,2024,R,ATL,33,4.8547,154,658,542303,2024,580,180,31,0,38,162,70,24.6,10.6,0.31,0.56,0.385,0.945,0.37,101,0,0,985,377,22,3,2,0,4,93,1652,0.293,0.595,0.402,0.41,0.373,15.9,11.6,25.4,2746,31,422,121.491,7.7,532,52.9,851,67,49,107,14.000000000000002,0.439,10324,-16.7438,41.7946,-4.7508,159.1155,"Ozuna, Marcell",,Marcell Ozuna,MMA
WHI,SR,Cal Raleigh,2024,B,SEA,27,4.8346,145,597,663728,2024,516,110,16,0,30,168,70,28.1,11.7,0.213,0.419,0.31,0.729,0.247,93,1,6,787,281,7,5,4,0,6,66,1517,0.232,0.474,0.315,0.344,0.328,15,7.1,24,2405,30.4,354,71.363,4.6,418,46.1,731,53,25,85,16.400000000000002,0.495,21534,21.4316,5.6364,-2.3335,111.6132,"Raleigh, Cal",2,Cal Raleigh#,MBL
ROC,CB,Willy Adames,2024,R,MIL,28,4.5008,153,658,642715,2024,583,144,30,0,32,170,71,25.8,10.8,0.247,0.463,0.328,0.791,0.292,109,4,18,871,369,12,1,3,0,3,87,1655,0.246,0.476,0.34,0.344,0.328,12.3,8.9,21.4,2623,29.9,416,90.839,5.4,508,42.6,784,51,37,89,15,0.496,15986,5.3651,16.2521,1.5423,118.6823,"Adames, Willy",6,Willy Adames,ANG
PR,NB,Corey Seager,2024,L,TEX,30,4.4848,123,533,608369,2024,475,132,21,0,30,96,53,18,9.9,0.278,0.512,0.353,0.865,0.291,74,1,1,671,173,8,3,11,0,2,68,1166,0.292,0.574,0.364,0.394,0.367,15.2,9.7,22.6,1872,23.4,381,86.061,6.6,403,47.5,438,58,37,86,8.1,0.43,13624,6.6796,19.1209,-5.2323,139.7465,"Seager, Corey",6,Corey Seager*,GAP
CK,TBD,Mookie Betts,2024,R,LAD,31,4.4339,108,490,605141,2024,426,125,23,5,18,55,59,11.2,12,0.293,0.498,0.378,0.876,0.3,70,1,15,739,392,9,1,1,0,4,72,1165,0.29,0.463,0.376,0.366,0.377,5.9,10.1,28.8,1949,14.7,375,84.721,7.3,401,44.8,287,22,38,108,-0.8000000000000007,0.425,13611,-0.5652,27.1626,1.0326,144.565,"Betts, Mookie",694,Mookie Betts,ANG
GRF,SSF,Jurickson Profar,2024,B,SDP,31,4.3548,151,642,595777,2024,541,153,28,0,23,96,75,15,11.7,0.283,0.462,0.385,0.847,0.305,83,3,9,957,407,13,17,4,5,4,88,1597,0.283,0.447,0.368,0.365,0.386,7,4.8,29.1,2643,16.6,454,100.674,6.6,488,40.9,439,32,22,132,3.3000000000000007,0.464,10815,-9.9557,30.6926,-1.2103,141.5284,"Profar, Jurickson",73,Jurickson Profar#,WAW
DV,SIP,Kyle Tucker,2024,L,HOU,27,4.1093,72,316,663656,2024,256,74,13,0,22,51,54,16.1,17.1,0.289,0.598,0.412,1.01,0.281,45,0,11,507,192,5,1,2,0,2,52,709,0.29,0.573,0.425,0.417,0.413,13.5,7.7,25.1,1261,18.2,207,68.751,9.8,289,46.3,230,28,16,52,-1,0.41,18345,-1.572,30.9402,0.4208,184.0154,"Tucker, Kyle",9,Kyle Tucker*,MMA
ALA,TBD,Rafael Devers,2024,L,BOS,27,4.0873,138,601,646240,2024,525,143,34,5,28,147,67,24.5,11.1,0.272,0.516,0.354,0.87,0.323,83,0,3,820,292,13,3,14,0,6,87,1501,0.274,0.52,0.364,0.366,0.357,13,8.6,21.4,2375,30.9,384,96.586,6.5,473,43,734,50,33,82,13.4,0.493,17350,-2.4283,22.1135,-0.903,133.3147,"Devers, Rafael",5,Rafael Devers*,SEA
HAL,SSF,Patrick Bailey,2024,B,SFG,25,4.0437,115,427,672275,2024,384,90,16,1,7,95,36,22.2,8.4,0.234,0.336,0.296,0.632,0.288,43,0,3,586,251,9,0,0,1,6,42,1076,0.256,0.394,0.279,0.315,0.322,5.1,6.8,29.7,1703,23.2,296,39.336,3.4,238,41.6,395,15,20,88,13.799999999999999,0.487,27478,34.9841,-10.0614,0.3169,79.6882,"Bailey, Patrick",2,Patrick Bailey#,MMA
PR,TT,Carlos Correa,2024,R,MIN,29,4.0004,80,340,621043,2024,297,93,18,2,13,56,35,16.5,10.3,0.313,0.519,0.386,0.905,0.345,52,0,0,442,231,5,3,2,0,4,52,801,0.284,0.467,0.386,0.363,0.365,9,8.2,21.6,1282,19.5,245,61.491,7.8,278,38.8,250,22,20,53,6.199999999999999,0.477,14162,6.1197,21.3945,-0.3445,155.62,"Correa, Carlos",6,Carlos Correa,ILK
PR,TT,Alec Bohm,2024,R,PHI,27,3.9599,136,582,664761,2024,531,153,44,2,15,81,39,13.9,6.7,0.288,0.463,0.34,0.803,0.313,94,2,5,685,289,18,6,2,0,6,62,1296,0.296,0.462,0.345,0.351,0.35,7,9.2,25.9,2043,17.6,456,80.406,5.4,417,42.1,360,32,42,118,7.2,0.446,21618,6.5668,12.35,-2.5395,121.38,"Bohm, Alec",53,Alec Bohm,NYZ
SV,TBD,Freddie Freeman,2024,L,LAD,34,3.9594,142,622,518692,2024,526,148,33,2,22,99,78,15.9,12.5,0.281,0.477,0.379,0.856,0.305,88,2,9,858,300,11,10,9,0,8,81,1498,0.279,0.477,0.366,0.37,0.381,9.2,8.5,25.1,2461,20.1,435,100.522,6.8,482,42.8,495,40,37,109,3.4000000000000004,0.457,5361,-9.2374,26.8089,-1.4133,137.9184,"Freeman, Freddie",3,Freddie Freeman*,NYZ
VAN,HOB,Corbin Carroll,2024,L,ARI,23,3.9384,150,655,682998,2024,565,130,21,14,21,123,69,18.8,10.5,0.23,0.428,0.321,0.749,0.254,72,7,29,921,484,3,10,0,3,8,116,1523,0.248,0.402,0.324,0.328,0.338,7.1,6.8,18.5,2520,20.2,453,86.083,5.1,510,32.4,509,32,31,84,8.3,0.488,25878,0.6065,15.6556,10.7124,106.3069,"Carroll, Corbin",89,Corbin Carroll*,SEA
DV,CW,Dansby Swanson,2024,R,CHC,30,3.8999,143,571,621020,2024,515,124,23,2,16,142,51,24.9,8.9,0.241,0.386,0.31,0.696,0.3,64,3,17,776,333,6,2,2,0,3,78,1432,0.248,0.423,0.304,0.323,0.318,9,7.7,23.1,2275,29,376,65.511,4.4,386,39.8,660,34,29,87,15.999999999999998,0.498,18314,17.0434,1.6591,3.9385,96.6639,"Swanson, Dansby",6,Dansby Swanson,MBL
HAR,SIP,Riley Greene,2024,L,DET,23,3.8951,129,556,682985,2024,485,128,25,6,24,148,63,26.6,11.3,0.264,0.489,0.353,0.842,0.33,71,2,4,845,394,2,5,3,0,2,77,1404,0.256,0.489,0.361,0.357,0.347,13.3,8.3,23,2316,26.2,339,88.915,6.6,429,44.6,607,45,28,78,15.3,0.476,25976,-4.8714,24.187,-0.3328,138.3631,"Greene, Riley",789,Riley Greene*,MBL
GH,HOB,Colton Cowser,2024,L,BAL,24,3.886,146,536,681297,2024,476,117,23,3,22,163,50,30.4,9.3,0.246,0.445,0.325,0.77,0.323,64,4,8,749,409,9,7,2,0,3,74,1389,0.235,0.443,0.333,0.33,0.318,13.3,7.3,22.8,2210,30.5,316,69.693,5,380,43.4,674,42,23,72,21.099999999999998,0.504,29591,6.822,13.0692,0.8969,119.7551,"Cowser, Colton",789,Colton Cowser*,WWL
SV,SR,Steven Kwan,2024,L,CLE,26,3.8527,120,532,680757,2024,475,138,16,3,13,50,51,9.4,9.6,0.291,0.419,0.364,0.783,0.303,43,5,12,771,491,5,4,0,2,0,81,1329,0.285,0.388,0.345,0.332,0.359,2.3,5.4,27.9,2134,8.1,427,75.876,5.9,369,35.6,173,10,23,119,-0.1999999999999993,0.48,24610,2.7359,16.9659,0.2413,127.3474,"Kwan, Steven",7,Steven Kwan*,GDJ
HAL,KR,Trea Turner,2024,R,PHI,31,3.7741,113,510,607208,2024,476,141,23,0,19,94,27,18.4,5.3,0.296,0.464,0.341,0.805,0.335,59,3,17,629,240,10,6,0,0,1,83,1268,0.271,0.434,0.349,0.325,0.317,6.8,6,23.8,1953,25.9,383,75.43,5.8,381,36.6,506,26,23,91,13.099999999999998,0.506,16252,2.168,17.3589,2.6216,124.1489,"Turner, Trea",6,Trea Turner,OBS
CC,NB,Jose Altuve,2024,R,HOU,34,3.7151,148,664,514888,2024,612,181,29,0,19,116,45,17.5,6.8,0.296,0.436,0.351,0.787,0.34,63,7,22,751,339,14,6,2,0,0,89,1556,0.263,0.401,0.343,0.315,0.321,6.3,3.8,28.4,2372,22.2,496,92.668,5.5,452,38.5,527,31,19,141,10.7,0.495,5417,-5.1661,19.1473,-1.0025,126.3981,"Altuve, Jose",4,Jose Altuve,NYZ
ALA,IR,Ian Happ,2024,B,CHC,29,3.7039,147,633,664023,2024,550,136,34,2,25,166,76,26.2,12,0.247,0.453,0.343,0.796,0.307,85,2,13,930,410,7,5,1,0,2,88,1605,0.249,0.463,0.346,0.35,0.345,11.9,8,24.1,2616,28,386,91.218,5.8,482,44,732,46,31,93,14.2,0.484,17919,-4.9877,19.7114,1.1849,124.4591,"Happ, Ian",7,Ian Happ#,STL
TB,SIP,Anthony Volpe,2024,R,NYY,23,3.6923,152,665,683011,2024,616,153,27,7,12,150,39,22.6,5.9,0.248,0.373,0.296,0.669,0.309,57,5,26,839,495,9,4,1,2,3,88,1780,0.244,0.345,0.292,0.282,0.294,3.8,5.5,27.8,2685,22.7,471,70.454,3.9,420,37.1,609,18,26,131,16.700000000000003,0.533,27647,16.4703,-2.7438,5.7536,88.8844,"Volpe, Anthony",6,Anthony Volpe,JFS
NA,NA,Jackson Chourio,2024,R,MIL,20,3.6888,140,545,694192,2024,501,136,28,4,21,113,38,20.7,7,0.271,0.469,0.325,0.794,0.312,77,7,21,622,348,7,3,4,1,2,78,1322,0.281,0.444,0.339,0.334,0.334,8.2,6.1,23.8,1995,26.8,391,76.894,5.4,418,38.1,535,32,24,93,13.7,0.513,28806,2.0343,15.4917,3.8223,117.8937,"Chourio, Jackson",79,Jackson Chourio,NA
GH,VM,Oneil Cruz,2024,L,PIT,25,3.6601,138,572,665833,2024,519,139,34,3,20,175,46,30.6,8,0.268,0.461,0.329,0.79,0.363,75,1,22,727,404,8,3,5,0,4,70,1451,0.269,0.476,0.337,0.343,0.331,16.1,4.6,25.6,2267,34.1,348,82.603,5.7,426,46.3,773,56,16,89,22.6,0.498,21711,1.5402,14.8027,5.3328,113.8356,"Cruz, Oneil",68,Oneil Cruz*,STL
GH,avail,Brenton Doyle,2024,R,COL,26,3.6575,145,590,686668,2024,530,140,24,4,22,150,45,25.4,7.6,0.264,0.449,0.321,0.77,0.322,71,5,29,701,287,13,3,1,4,8,81,1375,0.262,0.452,0.33,0.335,0.322,10.5,5.9,24.7,2119,29.7,392,78.24,5,431,41.1,629,41,23,97,17.799999999999997,0.497,25479,11.3253,4.3896,5.1339,98.9457,"Doyle, Brenton",8,Brenton Doyle,MBL
HAL,KR,Jazz Chisholm Jr.,2024,L,- - -,26,3.6503,141,596,665862,2024,539,138,19,4,23,147,52,24.7,8.7,0.256,0.434,0.326,0.76,0.311,68,10,37,855,370,6,4,5,0,1,72,1513,0.241,0.423,0.328,0.317,0.312,9.7,5.9,22.4,2410,29.1,393,79.748,5.2,428,38,701,38,23,88,16,0.504,20454,3.6585,11.8324,5.4045,109.4025,"Chisholm Jr., Jazz",854,Jazz Chisholm Jr.*,ANG
DAY,WC,Julio Rodriguez,2024,R,SEA,23,3.6338,135,581,677594,2024,535,146,16,0,19,148,38,25.5,6.5,0.273,0.409,0.327,0.736,0.343,59,5,22,729,264,9,6,1,0,2,68,1472,0.28,0.473,0.322,0.348,0.334,10.3,5.9,25.2,2284,30.5,389,73.508,4.9,379,41.4,697,40,23,98,19,0.503,23697,3.8368,12.1131,1.3304,116.1443,"Rodríguez, Julio",8,Julio Rodriguez,OBS
DAY,MVR,Alex Bregman,2024,R,HOU,30,3.6223,139,614,608324,2024,564,143,28,2,24,84,43,13.7,7,0.254,0.438,0.311,0.749,0.26,70,1,3,785,430,12,5,1,0,2,75,1466,0.255,0.411,0.324,0.315,0.314,6,7.3,24.9,2314,12.8,482,75.902,4.7,406,38.2,296,29,35,120,6.699999999999999,0.474,17678,8.2107,6.5311,-2.4545,112.7306,"Bregman, Alex",5,Alex Bregman,LWC
DV,SR,Eugenio Suarez,2024,R,ARI,32,3.5768,150,611,553993,2024,544,139,28,2,28,165,47,27,7.7,0.256,0.469,0.319,0.788,0.307,97,1,2,803,395,9,9,0,0,11,86,1524,0.248,0.45,0.337,0.33,0.316,11,9,25.1,2411,29.3,390,83.665,5.3,458,45.1,706,43,35,98,19.3,0.486,12552,4.5566,9.6713,-1.0915,114.7209,"Suárez, Eugenio",5,Eugenio Suarez,NYZ
BRA,OCS,Manny Machado,2024,R,SDP,31,3.5601,145,617,592518,2024,570,158,29,0,29,119,42,19.3,6.8,0.277,0.481,0.326,0.807,0.303,104,2,10,735,324,25,1,6,0,4,75,1496,0.275,0.466,0.343,0.338,0.327,11,5.7,24.4,2294,24.2,455,82.037,5,450,41.1,555,50,26,111,12.5,0.489,11493,-3.4737,17.3383,-0.4818,124.1365,"Machado, Manny",5,Manny Machado,MMA
GRF,SLB,Marcus Semien,2024,R,TEX,33,3.5197,151,684,543760,2024,621,144,26,2,22,103,59,15.1,8.6,0.232,0.386,0.301,0.687,0.245,72,3,6,841,336,7,3,2,0,1,95,1580,0.253,0.399,0.301,0.314,0.321,6.6,4.8,25,2503,20.5,519,74.285,4.1,443,36.4,513,34,25,130,6.5,0.48,12533,14.3946,-2.9738,0.9032,95.0693,"Semien, Marcus",4,Marcus Semien,OCG
HAR,VM,Kyle Schwarber,2024,L,PHI,31,3.4981,142,661,656941,2024,546,137,21,0,36,189,102,28.6,15.4,0.251,0.487,0.369,0.856,0.307,98,3,5,1075,508,5,5,4,0,8,105,1587,0.255,0.511,0.368,0.377,0.374,15.3,7.4,23,2737,32.1,365,106.946,6.8,537,45.7,879,56,27,84,13.200000000000001,0.458,16478,-15.969,27.7582,-1.461,136.9417,"Schwarber, Kyle",7,Kyle Schwarber*,RAH
TB,CW,Austin Wells,2024,L,NYY,24,3.4802,109,389,669224,2024,334,80,17,1,13,86,43,22.1,11.1,0.24,0.413,0.327,0.74,0.277,53,2,1,519,205,7,4,0,1,7,39,963,0.248,0.445,0.323,0.342,0.34,9,7.4,24.6,1529,27.8,256,46.988,4.7,257,41,425,23,19,63,11.000000000000002,0.493,27562,18.2753,2.5639,-2.148,110.537,"Wells, Austin",2,Austin Wells*,GDJ
CK,IR,Nico Hoerner,2024,R,CHC,27,3.4525,144,616,663538,2024,557,150,32,1,5,65,44,10.6,7.1,0.269,0.357,0.334,0.691,0.296,43,5,30,680,429,6,12,1,0,3,81,1494,0.281,0.355,0.307,0.314,0.347,1.2,2.2,30.7,2236,11.8,495,72.954,4.7,393,34.1,264,6,11,152,3.5,0.517,21479,8.9345,3.9204,4.915,98.6508,"Hoerner, Nico",46,Nico Hoerner,MMA
SV,SIP,Ezequiel Tovar,2024,R,COL,22,3.3472,149,664,678662,2024,624,166,44,3,25,190,23,28.6,3.5,0.266,0.466,0.293,0.759,0.339,72,5,6,617,229,14,4,1,5,7,80,1717,0.234,0.408,0.323,0.29,0.266,9.2,7.8,25.3,2416,33.5,446,80.602,4.5,437,42.3,809,41,35,113,25.1,0.555,24064,15.1737,-4.9487,0.0319,93.7315,"Tovar, Ezequiel",6,Ezequiel Tovar,GAP
HAR,avail,Lawrence Butler,2024,L,OAK,23,3.3313,118,424,671732,2024,387,104,23,2,22,100,33,23.6,7.8,0.269,0.509,0.323,0.832,0.305,57,0,16,596,276,8,0,0,0,4,60,1078,0.268,0.5,0.354,0.353,0.326,11.7,6.2,26.8,1712,26.1,291,65.711,6,333,44.7,447,34,18,78,15.8,0.478,22542,-3.0769,21.3085,3.6669,136.1945,"Butler, Lawrence",9,Lawrence Butler*,avail
VAN,CW,Willi Castro,2024,B,MIN,27,3.3302,151,607,650489,2024,532,133,30,5,12,148,50,24.4,8.2,0.25,0.393,0.337,0.73,0.323,58,9,14,749,345,8,21,0,1,3,86,1573,0.248,0.391,0.323,0.323,0.336,7,8.2,27.1,2399,29.4,388,72.958,4.7,410,42.3,705,27,32,105,16.2,0.519,17338,5.0576,7.0824,-0.6167,111.0337,"Castro, Willi",64875,Willi Castro#,ILK
RAM,SLB,Byron Buxton,2024,R,MIN,30,3.3077,96,361,621439,2024,329,90,24,3,17,94,20,26,5.5,0.274,0.52,0.332,0.852,0.332,53,2,7,429,159,3,10,1,0,2,59,893,0.262,0.511,0.362,0.354,0.323,13.9,7.6,21.1,1361,32.6,237,58.366,6.4,298,42.6,444,33,18,50,20.5,0.508,14161,1.3053,18.7909,2.6097,138.9921,"Buxton, Byron",8,Byron Buxton,LWC
GRF,MVR,Daulton Varsho,2024,L,TOR,27,3.2738,136,513,662139,2024,459,98,21,7,18,137,48,26.7,9.4,0.214,0.407,0.293,0.7,0.262,58,2,10,710,321,2,4,1,1,1,73,1296,0.189,0.325,0.304,0.265,0.271,6.2,9,19.1,2048,27,324,58.77,4.3,359,34.3,553,20,29,62,17.299999999999997,0.524,19918,13.8211,0.8951,1.5952,98.8127,"Varsho, Daulton",879,Daulton Varsho*,MMA
RM,PP,Seiya Suzuki,2024,R,CHC,29,3.2483,127,564,673548,2024,495,138,25,6,21,155,59,27.5,10.5,0.279,0.481,0.36,0.841,0.362,70,6,16,884,498,6,6,2,0,4,71,1456,0.253,0.459,0.362,0.344,0.339,11.6,9.6,24.4,2419,24.6,344,89.668,6.5,427,45.6,595,40,33,84,17,0.472,30116,-10.2156,22.8311,-1.0247,135.348,"Suzuki, Seiya",97,Seiya Suzuki,SEA
GH,SLB,Salvador Perez,2024,R,KCR,34,3.2218,151,626,521692,2024,565,154,27,0,27,125,43,20,6.9,0.273,0.464,0.333,0.797,0.303,103,0,0,630,222,17,11,9,0,6,57,1495,0.275,0.535,0.339,0.364,0.336,12.6,6.1,23.3,2214,27.8,446,84.596,5.3,432,42,615,56,27,104,13.1,0.506,7304,3.4964,6.9606,-5.5636,117.4039,"Perez, Salvador",23,Salvador Perez,STL
BRA,MVR,J.J. Bleday,2024,L,OAK,26,3.1622,151,615,668709,2024,547,134,43,4,20,120,65,19.5,10.6,0.245,0.448,0.327,0.775,0.28,57,3,2,856,394,7,2,2,1,0,72,1471,0.248,0.413,0.335,0.324,0.33,8.6,7.2,24.8,2394,26.2,428,81.823,5.2,414,40.6,627,37,31,106,8.9,0.469,26368,-3.6879,13.9322,-2.3922,123.0905,"Bleday, JJ",8,J.J. Bleday*,GAP
HAL,avail,Josh H. Smith,2024,L,TEX,26,3.1553,142,564,669701,2024,497,130,27,1,13,114,45,20.2,8,0.262,0.398,0.342,0.74,0.314,57,2,10,726,381,6,17,1,2,3,63,1414,0.245,0.361,0.326,0.307,0.328,3.9,5.7,27.3,2222,21.6,388,72.315,5.1,371,36.9,480,15,22,106,12.2,0.507,26396,4.4187,7.4535,-0.9824,113.0114,"Smith, Josh",5679,Josh H. Smith*,avail
