RJML,SSBL,Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,CJPL
avail,avail,Cesar Salazar,2024,L,HOU,28,0.4354,10,31,663967,2024,24,8,2,0,0,5,2,16.1,6.5,0.333,0.417,0.4,0.817,0.381,8,0,0,35,14,0,2,0,1,2,5,68,0.334,0.39,0.354,0.352,0.404,0,0,50,107,21.8,22,4.877,6.9,28,50,23,0,0,11,9.600000000000001,0.43,21587,1.7323,1.4616,0.2535,133.9008,"Salazar, César",2,Cesar Salazar*,avail
NA,NA,Leo Jimenez,2024,R,TOR,23,0.4344,57,195,677870,2024,165,36,10,0,4,57,12,29.2,6.2,0.218,0.352,0.328,0.68,0.302,17,0,0,243,147,5,16,0,0,2,16,505,0.212,0.351,0.307,0.304,0.323,9.1,6.4,23.6,793,27.1,110,20.066,4,110,39.1,215,10,7,26,23,0.528,23782,-0.9604,-1.3042,-1.5298,101.0065,"Jimenez, Leo",64,Leo Jimenez,NA
DV,avail,Eguy Rosario,2024,R,SDP,24,0.4325,30,57,666703,2024,53,13,6,0,3,20,2,35.1,3.5,0.245,0.528,0.286,0.814,0.333,6,0,0,71,44,1,1,0,1,0,5,149,0.203,0.416,0.344,0.284,0.246,14.7,5.9,20.6,226,41.9,34,7.711,5,39,41.2,95,5,2,7,31.6,0.535,19964,1.4507,0.8354,-0.8888,125.279,"Rosario, Eguy",5,Eguy Rosario,LWC
HAL,avail,Michael A. Taylor,2024,R,PIT,33,0.4313,113,300,572191,2024,269,52,9,1,5,105,23,35,7.7,0.193,0.29,0.253,0.543,0.288,21,1,12,408,184,3,0,0,4,4,35,776,0.208,0.339,0.242,0.272,0.271,11.6,1.7,25.6,1202,39,172,22.337,2.6,164,38.9,469,20,3,44,27.3,0.534,11489,9.5689,-15.437,2.6012,49.7516,"Taylor, Michael A.",87,Michael A. Taylor,TBT
DV,NB,Garrett Hampson,2024,R,KCR,29,0.4303,107,218,641658,2024,201,46,13,1,0,54,13,24.8,6,0.229,0.303,0.273,0.576,0.309,16,2,7,260,155,3,0,0,2,2,15,555,0.217,0.304,0.255,0.255,0.264,4.6,6,20.5,832,22,151,17.364,2.9,109,31.1,183,7,9,31,18.8,0.554,19262,5.883,-8.952,1.4139,58.6359,"Hampson, Garrett",874963,Garrett Hampson,LWC
NA,NA,Ryan Bliss,2024,R,SEA,24,0.4254,33,71,669208,2024,63,14,3,1,2,22,5,31,7,0.222,0.397,0.29,0.687,0.308,9,3,5,85,33,1,1,0,2,0,10,167,0.224,0.453,0.299,0.321,0.292,9.3,16.3,11.6,259,32.1,43,6.806,3.3,51,37.2,83,4,7,5,24,0.521,29547,1.701,0.0666,0.0263,100.4932,"Bliss, Ryan",4,Ryan Bliss,NA
GRF,avail,Miguel Andujar,2024,R,OAK,29,0.4231,75,319,609280,2024,302,86,14,1,4,42,13,13.2,4.1,0.285,0.377,0.32,0.697,0.319,30,2,3,356,197,10,3,0,0,1,31,790,0.267,0.348,0.306,0.287,0.303,2.7,3.1,23.8,1176,16,261,33.924,4,178,29.6,188,7,8,62,9.1,0.54,15878,-5.3072,-1.1871,-2.0687,102.4041,"Andujar, Miguel",7,Miguel Andujar,avail
NA,NA,Daniel Schneemann,2024,L,CLE,27,0.4228,71,214,682177,2024,188,42,10,2,5,70,23,32.7,10.7,0.223,0.378,0.304,0.682,0.319,22,1,3,306,118,1,0,0,0,3,17,543,0.214,0.318,0.298,0.279,0.299,5,5.8,33.1,862,32.5,121,23.581,4.2,129,43.9,280,6,7,40,22.000000000000004,0.507,25180,0.7202,-3.729,-2.3819,94.5243,"Schneemann, Daniel",685974,Daniel Schneemann*,NA
TB,TT,Whit Merrifield,2024,R,- - -,35,0.4202,94,335,593160,2024,293,65,9,3,4,52,35,15.5,10.4,0.222,0.314,0.311,0.625,0.257,15,3,16,455,238,7,3,0,4,0,43,842,0.246,0.323,0.283,0.297,0.333,2.4,3.3,27.3,1330,18.5,245,31.17,3.5,194,33,246,6,8,67,5.1,0.512,11281,-1.7555,-5.3929,2.8419,79.4573,"Merrifield, Whit",475,Whit Merrifield,NYZ
HAL,SR,Eric Haase,2024,R,MIL,31,0.3986,26,62,606992,2024,59,17,0,0,5,24,3,38.7,4.8,0.288,0.542,0.323,0.865,0.4,13,0,0,64,49,0,0,0,0,0,9,164,0.232,0.471,0.369,0.314,0.269,11.4,5.7,22.9,247,38.8,35,10.574,6.8,52,40,96,4,2,8,33.900000000000006,0.551,14111,0.8599,0.9298,-1.886,137.9553,"Haase, Eric",2,Eric Haase,avail
